region,postcode_sector,year,avg_price,volume
East Midlands,DN2 5,2023,130000,105
East Midlands,DN2 6,2023,88000,71
East Midlands,DN20 0,2023,132000,97
East Midlands,DN20 8,2023,137000,98
East Midlands,DN20 9,2023,152000,112
East Midlands,DN21 1,2023,96000,237
East Midlands,DN21 2,2023,75000,135
East Midlands,DN21 3,2023,159000,112
East Midlands,DN21 4,2023,139000,52
East Midlands,DN21 5,2023,170000,75
East Midlands,DN22 0,2023,166000,50
East Midlands,DN22 6,2023,123000,99
East Midlands,DN22 7,2023,142000,284
East Midlands,DN22 8,2023,224000,64
East Midlands,DN22 9,2023,195000,40
East Midlands,DN3 1,2023,116000,123
East Midlands,DN3 2,2023,128000,175
East Midlands,DN3 3,2023,128000,173
East Midlands,DN31 1,2023,57000,23
East Midlands,DN31 2,2023,57000,166
East Midlands,DN31 3,2023,56000,3
East Midlands,DN32 0,2023,114000,112
East Midlands,DN32 7,2023,43000,75
East Midlands,DN32 8,2023,82000,141
East Midlands,DN32 9,2023,68000,138
East Midlands,DN33 1,2023,59000,44
East Midlands,DN33 2,2023,124000,81
East Midlands,DN33 3,2023,139000,150
East Midlands,DN34 4,2023,89000,142
East Midlands,DN34 5,2023,93000,146
East Midlands,DN35 0,2023,169000,165
East Midlands,DN35 7,2023,72000,212
East Midlands,DN35 8,2023,91000,142
East Midlands,DN35 9,2023,122000,70
East Midlands,DN36 4,2023,161000,204
East Midlands,DN36 5,2023,159000,139
East Midlands,DN37 0,2023,197000,118
East Midlands,DN37 7,2023,161000,48
East Midlands,DN37 8,2023,161000,1
East Midlands,DN37 9,2023,97000,139
East Midlands,DN38 6,2023,167000,42
East Midlands,DN39 6,2023,136000,47
East Midlands,DN4 0,2023,71000,168
East Midlands,DN4 5,2023,124000,120
East Midlands,DN4 6,2023,141000,149
East Midlands,DN4 7,2023,181000,145
East Midlands,DN4 8,2023,103000,152
East Midlands,DN4 9,2023,104000,157
East Midlands,DN40 1,2023,84000,63
East Midlands,DN40 2,2023,93000,61
East Midlands,DN40 3,2023,101000,36
East Midlands,DN41 7,2023,165000,51
East Midlands,DN41 8,2023,124000,46
East Midlands,DN5 0,2023,80000,100
East Midlands,DN5 7,2023,202000,113
East Midlands,DN5 8,2023,118000,137
East Midlands,DN5 9,2023,91000,169
East Midlands,DN6 0,2023,95000,69
East Midlands,DN6 7,2023,96000,137
East Midlands,DN6 8,2023,105000,84
East Midlands,DN6 9,2023,137000,76
East Midlands,DN7 4,2023,96000,99
East Midlands,DN7 5,2023,100000,60
East Midlands,DN7 6,2023,144000,115
East Midlands,DN8 4,2023,88000,105
East Midlands,DN8 5,2023,99000,111
East Midlands,DN9 1,2023,161000,132
East Midlands,DN9 2,2023,182000,66
East Midlands,DN9 3,2023,167000,108
East Midlands,LE1 1,2023,123000,43
East Midlands,LE1 2,2023,108000,5
East Midlands,LE1 3,2023,89000,18
East Midlands,LE1 4,2023,115000,12
East Midlands,LE1 5,2023,147000,9
East Midlands,LE1 6,2023,121000,33
East Midlands,LE1 7,2023,223000,12
East Midlands,LE10 0,2023,139000,397
East Midlands,LE10 1,2023,157000,203
East Midlands,LE10 2,2023,181000,259
East Midlands,LE10 3,2023,243000,42
East Midlands,LE11 0,2023,48000,1
East Midlands,LE11 1,2023,111000,146
East Midlands,LE11 2,2023,174000,238
East Midlands,LE11 3,2023,216000,129
East Midlands,LE11 4,2023,138000,118
East Midlands,LE11 5,2023,139000,143
East Midlands,LE12 2,2023,90000,1
